epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,13535,1.74209,1.29757,0.95076,0.57419,0.33765,0.37757,0.24152,1.70498,1.27027,0.94213,0.000349331,0.000349331,0.000349331
43,13871.5,1.76107,1.32619,0.95436,0.59655,0.32667,0.36836,0.23096,1.73062,1.25824,0.93999,0.00034351,0.00034351,0.00034351
44,14205.8,1.74957,1.28952,0.95058,0.45233,0.3449,0.3769,0.23829,1.70904,1.26423,0.94056,0.000337688,0.000337688,0.000337688
45,14553.1,1.73791,1.28996,0.95113,0.53836,0.34219,0.38783,0.24431,1.70304,1.28741,0.94106,0.000331867,0.000331867,0.000331867
46,14874,1.73119,1.27655,0.94802,0.4633,0.37036,0.3853,0.23676,1.75103,1.27553,0.94748,0.000326046,0.000326046,0.000326046
47,15192.3,1.71408,1.25622,0.94819,0.58191,0.33212,0.37614,0.24074,1.72281,1.28378,0.93812,0.000320225,0.000320225,0.000320225
48,15507.2,1.68779,1.23915,0.94572,0.62029,0.34428,0.39708,0.24927,1.66811,1.21914,0.93498,0.000314404,0.000314404,0.000314404
49,15827.6,1.74594,1.25839,0.94911,0.45044,0.37533,0.39556,0.25218,1.68121,1.24391,0.93795,0.000308582,0.000308582,0.000308582
50,16149.7,1.72184,1.24864,0.94477,0.46606,0.3357,0.37804,0.23744,1.70666,1.26346,0.94295,0.000302761,0.000302761,0.000302761
51,16479,1.718,1.23169,0.93979,0.4805,0.35304,0.393,0.25342,1.68124,1.21049,0.93572,0.00029694,0.00029694,0.00029694
52,16795.9,1.71001,1.23739,0.94082,0.46231,0.37228,0.39773,0.25093,1.68247,1.24268,0.93952,0.000291119,0.000291119,0.000291119
53,17114.6,1.73546,1.25883,0.94447,0.51753,0.37614,0.41203,0.26463,1.67564,1.19777,0.93324,0.000285298,0.000285298,0.000285298
54,17484.2,1.72939,1.22717,0.94288,0.5,0.40911,0.4237,0.27053,1.663,1.18474,0.93219,0.000279476,0.000279476,0.000279476
55,17803.2,1.71285,1.2355,0.94262,0.47995,0.37509,0.41015,0.26342,1.65384,1.2048,0.93152,0.000273655,0.000273655,0.000273655
56,18118.2,1.68134,1.21358,0.93435,0.52458,0.3883,0.42547,0.27564,1.64738,1.17352,0.93188,0.000267834,0.000267834,0.000267834
57,18440.9,1.7202,1.22617,0.94035,0.60116,0.37873,0.43509,0.27524,1.68253,1.20014,0.93598,0.000262013,0.000262013,0.000262013
58,18763,1.67895,1.19274,0.93602,0.60247,0.40112,0.43456,0.2787,1.6533,1.2004,0.92908,0.000256192,0.000256192,0.000256192
59,19080.1,1.6854,1.20102,0.93349,0.53856,0.39052,0.4372,0.28017,1.67388,1.20743,0.92973,0.00025037,0.00025037,0.00025037
60,19394.6,1.68355,1.19865,0.92973,0.55495,0.39503,0.44542,0.288,1.63604,1.16513,0.92766,0.000244549,0.000244549,0.000244549
61,19716.6,1.68213,1.18701,0.9336,0.6065,0.39085,0.44546,0.28722,1.65794,1.16613,0.92853,0.000238728,0.000238728,0.000238728
62,20040.9,1.68973,1.20185,0.933,0.61658,0.39624,0.44763,0.28628,1.65788,1.16477,0.93096,0.000232907,0.000232907,0.000232907
63,20361,1.6731,1.18985,0.9323,0.57943,0.38971,0.45181,0.29133,1.63127,1.16788,0.92535,0.000227086,0.000227086,0.000227086
